time,first,second,third,mean,std
0,5,5,5,5,0
30,5.3,5.3,5.3,5.3,0
60,5.6,5.6,5.6,5.6,1.08779E-15
90,5.9,6,6,5.966666667,0.057735027
120,6.2,6.3,6.3,6.266666667,0.057735027
150,6.6,6.6,6.6,6.6,1.08779E-15
